current_time,url,change,total
2020-08-28 17:51:36,https://www.youtube.com/live_chat?v=ftMnmPC82qM,68,68
2020-08-28 17:53:22,https://www.youtube.com/live_chat?v=ftMnmPC82qM,72,72
2020-08-28 17:53:24,https://www.youtube.com/live_chat?v=ftMnmPC82qM,1,72
2020-08-28 17:53:26,https://www.youtube.com/live_chat?v=ftMnmPC82qM,2,74
2020-08-28 17:53:28,https://www.youtube.com/live_chat?v=ftMnmPC82qM,7,81
2020-08-28 17:53:30,https://www.youtube.com/live_chat?v=ftMnmPC82qM,7,88
2020-08-28 17:53:59,https://www.youtube.com/watch?v=ftMnmPC82qM,75,75
2020-08-28 17:54:00,https://www.youtube.com/watch?v=ftMnmPC82qM,1,75
2020-08-28 17:54:01,https://www.youtube.com/watch?v=ftMnmPC82qM,1,75
2020-08-28 17:54:02,https://www.youtube.com/watch?v=ftMnmPC82qM,1,76
2020-08-28 17:54:03,https://www.youtube.com/watch?v=ftMnmPC82qM,2,78
2020-08-28 17:54:04,https://www.youtube.com/watch?v=ftMnmPC82qM,4,82
2020-08-28 17:54:05,https://www.youtube.com/watch?v=ftMnmPC82qM,3,85
2020-08-28 17:54:06,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:07,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:08,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:09,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:10,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:11,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:12,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:13,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:14,https://www.youtube.com/watch?v=ftMnmPC82qM,1,86
2020-08-28 17:54:15,https://www.youtube.com/watch?v=ftMnmPC82qM,1,87
2020-08-28 17:54:16,https://www.youtube.com/watch?v=ftMnmPC82qM,1,87
